genesymbol,geneset
HILPDA,MES2
ADM,MES2
DDIT3,MES2
NDRG1,MES2
HERPUD1,MES2
DNAJB9,MES2
TRIB3,MES2
ENO2,MES2
AKAP12,MES2
SQSTM1,MES2
MT1X,MES2
ATF3,MES2
NAMPT,MES2
NRN1,MES2
SLC2A1,MES2
BNIP3,MES2
LGALS3,MES2
INSIG2,MES2
IGFBP3,MES2
PPP1R15A,MES2
VIM,MES2
PLOD2,MES2
GBE1,MES2
SLC2A3,MES2
FTL,MES2
WARS,MES2
ERO1L,MES2
XPOT,MES2
HSPA5,MES2
GDF15,MES2
ANXA2,MES2
EPAS1,MES2
LDHA,MES2
P4HA1,MES2
SERTAD1,MES2
PFKP,MES2
PGK1,MES2
EGLN3,MES2
SLC6A6,MES2
CA9,MES2
BNIP3L,MES2
RPL21,MES2
TRAM1,MES2
UFM1,MES2
ASNS,MES2
GOLT1B,MES2
ANGPTL4,MES2
SLC39A14,MES2
CDKN1A,MES2
HSPA9,MES2
CHI3L1,MES1
ANXA2,MES1
ANXA1,MES1
CD44,MES1
VIM,MES1
MT2A,MES1
C1S,MES1
NAMPT,MES1
EFEMP1,MES1
C1R,MES1
SOD2,MES1
IFITM3,MES1
TIMP1,MES1
SPP1,MES1
A2M,MES1
S100A11,MES1
MT1X,MES1
S100A10,MES1
FN1,MES1
LGALS1,MES1
S100A16,MES1
CLIC1,MES1
MGST1,MES1
RCAN1,MES1
TAGLN2,MES1
NPC2MM,MES1
SERPING1,MES1
C8orf4,MES1
EMP1,MES1
APOE,MES1
CTSB,MES1
C3,MES1
LGALS3,MES1
MT1E,MES1
EMP3,MES1
SERPINA3,MES1
ACTN1,MES1
PRDX6,MES1
IGFBP7,MES1
SERPINE1,MES1
PLP2,MES1
MGP,MES1
CLIC4,MES1
GFPT2,MES1
GSN,MES1
NNMT,MES1
TUBA1C,MES1
GJA1,MES1
TNFRSF1A,MES1
WWTR1,MES1
CST3,AC
S100B,AC
SLC1A3,AC
HEPN1,AC
HOPX,AC
MT3,AC
SPARCL1,AC
MLC1,AC
GFAP,AC
FABP7,AC
BCAN,AC
PON2,AC
METTL7B,AC
SPARC,AC
GATM,AC
RAMP1,AC
PMP2,AC
AQP4,AC
DBI,AC
EDNRB,AC
PTPRZ1,AC
CLU,AC
PMP22,AC
ATP1A2,AC
S100A16,AC
HEY1,AC
PCDHGC3,AC
TTYH1,AC
NDRG2,AC
PRCP,AC
ATP1B2,AC
AGT,AC
PLTP,AC
GPM6B,AC
F3,AC
RAB31,AC
PPAP2B,AC
ANXA5,AC
TSPAN7,AC
BCAN,OPC
PLP1,OPC
GPR17,OPC
FIBIN,OPC
LHFPL3,OPC
OLIG1,OPC
PSAT1,OPC
SCRG1,OPC
OMG,OPC
APOD,OPC
SIRT2,OPC
TNR,OPC
THY1,OPC
PHYHIPL,OPC
SOX2-OT,OPC
NKAIN4,OPC
LPPR1,OPC
PTPRZ1,OPC
VCAN,OPC
DBI,OPC
PMP2,OPC
CNP,OPC
TNS3,OPC
LIMA1,OPC
CA10,OPC
PCDHGC3,OPC
CNTN1,OPC
SCD5,OPC
P2RX7,OPC
CADM2,OPC
TTYH1,OPC
FGF12,OPC
TMEM206,OPC
NEU4,OPC
FXYD6,OPC
RNF13,OPC
RTKN,OPC
GPM6B,OPC
LMF1,OPC
ALCAM,OPC
PGRMC1,OPC
HRASLS,OPC
BCAS1,OPC
RAB31,OPC
PLLP,OPC
FABP5,OPC
NLGN3,OPC
SERINC5,OPC
EPB41L2,OPC
GPR37L1,OPC
DLL3,NPC1MM
DLL1,NPC1MM
SOX4,NPC1MM
TUBB3,NPC1MM
HES6,NPC1MM
TAGLN3,NPC1MM
NEU4,NPC1MM
MARCKSL1,NPC1MM
CD24,NPC1MM
STMN1,NPC1MM
TCF12,NPC1MM
BEX1,NPC1MM
OLIG1,NPC1MM
MAP2,NPC1MM
FXYD6,NPC1MM
PTPRS,NPC1MM
MLLT11,NPC1MM
NPPA,NPC1MM
BCAN,NPC1MM
MEST,NPC1MM
ASCL1,NPC1MM
BTG2,NPC1MM
DCX,NPC1MM
NXPH1,NPC1MM
HN1,NPC1MM
PFN2,NPC1MM
SCG3,NPC1MM
MYT1,NPC1MM
CHD7,NPC1MM
GPR56,NPC1MM
TUBA1A,NPC1MM
PCBP4,NPC1MM
ETV1,NPC1MM
SHD,NPC1MM
TNR,NPC1MM
AMOTL2,NPC1MM
DBN1,NPC1MM
HIP1,NPC1MM
ABAT,NPC1MM
ELAVL4,NPC1MM
LMF1,NPC1MM
GRIK2,NPC1MM
SERINC5,NPC1MM
TSPAN13,NPC1MM
ELMO1,NPC1MM
GLCCI1,NPC1MM
SEZ6L,NPC1MM
LRRN1,NPC1MM
SEZ6,NPC1MM
SOX11,NPC1MM
STMN2,NPC2MM
CD24,NPC2MM
RND3,NPC2MM
HMP19,NPC2MM
TUBB3,NPC2MM
MIAT,NPC2MM
DCX,NPC2MM
NSG1,NPC2MM
ELAVL4,NPC2MM
MLLT11,NPC2MM
DLX6-AS1,NPC2MM
SOX11,NPC2MM
NREP,NPC2MM
FNBP1L,NPC2MM
TAGLN3,NPC2MM
STMN4,NPC2MM
DLX5,NPC2MM
SOX4,NPC2MM
MAP1B,NPC2MM
RBFOX2,NPC2MM
IGFBPL1,NPC2MM
STMN1,NPC2MM
HN1,NPC2MM
TMEM161B-AS1,NPC2MM
DPYSL3,NPC2MM
SEPT3,NPC2MM
PKIA,NPC2MM
ATP1B1,NPC2MM
DYNC1I1,NPC2MM
CD200,NPC2MM
SNAP25,NPC2MM
PAK3,NPC2MM
NDRG4,NPC2MM
KIF5A,NPC2MM
UCHL1,NPC2MM
ENO2,NPC2MM
KIF5C,NPC2MM
DDAH2,NPC2MM
TUBB2A,NPC2MM
LBH,NPC2MM
LOC150568,NPC2MM
TCF4,NPC2MM
GNG3,NPC2MM
NFIB,NPC2MM
DPYSL5,NPC2MM
CRABP1,NPC2MM
DBN1,NPC2MM
NFIX,NPC2MM
CEP170,NPC2MM
BLCAP,NPC2MM
RRM2,G1/S
PCNA,G1/S
KIAA0101,G1/S
HIST1H4C,G1/S
MLF1IP,G1/S
GMNN,G1/S
RNASEH2A,G1/S
MELK,G1/S
CENPK,G1/S
TK1,G1/S
TMEM106C,G1/S
CDCA5,G1/S
CKS1B,G1/S
CDC45,G1/S
MCM3,G1/S
CENPM,G1/S
AURKB,G1/S
PKMYT1,G1/S
MCM4,G1/S
ASF1B,G1/S
GINS2,G1/S
MCM2,G1/S
FEN1,G1/S
RRM1,G1/S
DUT,G1/S
RAD51AP1,G1/S
MCM7,G1/S
CCNE2,G1/S
ZWINT,G1/S
CCNB1,G2/M
CDC20,G2/M
CCNB2,G2/M
PLK1,G2/M
CCNA2,G2/M
CKAP2,G2/M
KNSTRN,G2/M
RACGAP1,G2/M
CDCA3,G2/M
TROAP,G2/M
KIF2C,G2/M
